  DATE    T-ini  T-end  %SUN   %CLOU  %GOOD  %MOD   %BAD   OBS
19970202   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970203   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970204   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970205   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970206   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970207   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970208   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970209   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970210   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970211   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970212   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970213   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970214   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970215   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970216   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970217   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970218   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970219   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970220   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970221   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970222   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970223   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970224   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970225   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970226   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970227   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970228   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970301   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970302   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970303   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970304   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970305   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970306   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970307   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970308   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970309   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970310   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970311   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970312   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970313   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970314   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970315   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970316   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970317   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970318   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970319   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970320   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970321   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970322   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970323   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970324   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970325   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970326   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970327   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970328   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970329   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970330   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970331   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970401   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970402   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970403   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970404   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970405   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970406   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970407   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970408   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970409   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970410   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970411   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970412   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970413   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970414   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970415   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970416   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970417   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970418   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970419   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970420   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970421   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970422   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970423   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970424   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970425   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970426   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970427   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970428   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970429   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970430   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970501   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970502   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970503   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970504   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970505   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970506   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970507   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970508   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970509   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970510   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970511   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970512   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970513   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970514   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970515   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970516   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970517   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970518   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970519   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970520   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970521   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970522   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970523   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970524   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970525   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970526   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970527   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970528   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970529   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970530   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970531   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970601   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970602   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970603   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970604   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970605   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970606   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970607   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970608   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970609   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970610   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970611   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970612   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970613   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970614   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970615   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970616   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970617   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970618   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970619   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970620   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970621   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970622   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970623   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970624   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970625   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970626   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970627   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970628   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970629   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970630   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970701   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970702   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970703   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970704   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970705   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970706   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970707   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970708   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970709   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970710   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970711   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970712   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970713   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970714   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970715   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970716   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970717   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970718   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970719   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970720   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970721   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970722   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970723   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970724   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970725   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970726   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970727   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970728   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970729   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970730   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970731   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970801   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970802   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970803   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970804   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970805   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970806   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970807   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970808   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970809   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970810   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970811   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970812   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970813   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970814   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970815   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970816   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970817   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970818   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970819   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970820   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970821   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970822   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970823   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970824   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970825   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970826   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970827   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970828   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970829   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970830   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970831   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970901   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970902   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970903   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970904   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970905   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970906   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970907   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970908   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970909   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970910   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970911   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970912   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970913   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970914   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970915   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970916   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970917   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970918   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970919   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970920   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970921   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970922   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970923   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970924   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970925   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970926   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970927   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970928   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970929   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19970930   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971001   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971002   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971003   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971004   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971005   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971006   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971007   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971008   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971009   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971010   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971011   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971012   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971013   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971014   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971015   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971016   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971017   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971018   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971019   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971020   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971021   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971022   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971023   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971024   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971025   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971026   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971027   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971028   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971029   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971030   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971031   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971101   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971102   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971103   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971104   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971105   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971106   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971107   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971108   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971109   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971110   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971111   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971112   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971113   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971114   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971115   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971116   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971117   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971118   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971119   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971120   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971121   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971122   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971123   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971124   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971125   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971126   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971127   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971128   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971129   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971130   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971201  10.00  14.20   1.58  98.42   0.79   0.04   0.75   1
19971202  10.01  16.37  92.14   7.86  81.12   0.60  10.42   1
19971203   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971204   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971205   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971206  10.04  15.29  67.40  32.60   6.99  22.03  38.38   1
19971207  12.70  14.67  74.17  25.83   0.00  21.70  52.48   1
19971208  10.21  14.14  13.42  86.58   0.71   7.86   4.85   1
19971209  10.04  13.73  14.54  85.46   0.00   0.00  14.54   1
19971210  10.04  12.37  17.37  82.63   0.00   0.00  17.37   1
19971211  10.25  11.82   0.00 100.00   0.00   0.00   0.00   1
19971212  10.46  11.72  16.54  83.46   0.00   0.00  16.54   1
19971213  11.40  15.34  75.43  24.57  10.97  21.56  42.91   1
19971214  10.00  15.85  77.34  22.66   0.42  13.26  63.66   1
19971215  10.09  15.55  94.31   5.69  35.55  42.54  16.22   1
19971216  10.05  15.93  80.27  19.73  20.46  31.87  27.94   1
19971217  10.02  16.24  92.14   7.86  35.69  42.15  14.30   1
19971218  10.97  16.25  99.74   0.26  31.13  63.49   5.11   1
19971219  10.39  15.89  94.48   5.52   0.03  55.93  38.52   1
19971220  10.80  16.26  82.29  17.71   0.12  33.63  48.53   1
19971221  10.74  15.15  13.34  86.66   0.00   0.00  13.34   1
19971222  10.47  17.86  78.09  21.91  78.09   0.00   0.00   1
19971223  10.44  16.29  95.34   4.66  37.33  30.40  27.60   1
19971224   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971225   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971226   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971227   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971228  10.18  14.59  85.70  14.30  80.91   0.21   4.58   1
19971229  10.04  12.98  81.27  18.73   0.08   0.02  81.18   1
19971230   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19971231   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980101   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980102   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980103  10.64  14.72  67.10  32.90   0.29  11.89  54.93   1
19980104  11.58  14.29  16.99  83.01   0.20  14.03   2.75   1
19980105  10.28  13.06  92.40   7.60  52.51   7.44  32.46   1
19980106  10.57  12.72  99.79   0.21  62.04   0.17  37.58   1
19980107   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980108  11.68  16.21  83.57  16.43   0.00   0.99  82.58   1
19980109  10.49  15.88  97.24   2.76   6.68  56.49  34.07   1
19980110  11.28  15.88  96.62   3.38  41.71  14.77  40.13   1
19980111  11.05  15.52  96.26   3.74   0.00  62.75  33.51   1
19980112   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980113  11.00  15.03  86.80  13.20   0.00   0.00  86.80   1
19980114  10.50  17.11  99.43   0.57  74.14  18.20   7.08   1
19980115  10.56  17.12  91.24   8.76  40.80  10.29  40.14   1
19980116  10.32  17.12  93.08   6.92  45.36  21.73  25.99   1
19980117  10.23  17.30  92.64   7.36   0.00   4.08  88.56   1
19980118  11.40  17.30  99.91   0.09   0.00   0.48  99.43   1
19980119  10.36  17.31  94.97   5.03  14.25  72.61   8.10   1
19980120  13.05  17.31  99.69   0.31  99.34   0.22   0.12   1
19980121  10.27  17.32  94.55   5.45  90.41   2.08   2.06   1
19980122  10.74  17.50  87.21  12.79   1.53  39.97  45.71   1
19980123  10.41  17.06  95.78   4.22  70.94  21.00   3.85   1
19980124  11.34  17.50  65.27  34.73   0.00  24.88  40.39   1
19980125  10.90  15.56  93.77   6.23   0.00  15.42  78.35   1
19980126  11.28  18.28  92.69   7.31  46.12  10.03  36.54   1
19980127  11.73  17.83  99.81   0.19  39.75  40.07  20.00   1
19980128   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980129  11.17  14.86  99.65   0.35   0.00   1.88  97.77   1
19980130  10.66  14.75  88.19  11.81   0.00   0.00  88.19   1
19980131  10.57  13.82  89.01  10.99   0.00   0.05  88.96   1
19980201  10.57  17.61  95.72   4.28  66.04  18.68  11.00   1
19980202   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980203   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980204  10.99  19.90 100.00   0.00  59.90  26.57  13.54   1
19980205  11.25  18.32  90.01   9.99  41.46  14.89  33.65   1
19980206  11.84  18.62  28.14  71.86   0.00   1.56  26.57   1
19980207  11.24  19.45  69.76  30.24   0.00   4.23  65.54   1
19980208  11.03  18.01  71.46  28.54  24.15  10.03  37.29   1
19980209  11.14  17.98  70.66  29.34  62.49   1.49   6.68   1
19980210  15.92  17.46  39.13  60.87  34.07   0.29   4.76   1
19980211   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980212   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
19980213   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0
